Entry,Catalyst,SMILES,Activity (g/gCr h),Productivity (g/gCr h),TOF,SC6 (wt%),S1-C6 (wt%),SC8 (wt%),S1-C8 (wt%),1-C6 in C6 (%),1-C8 in C8 (%),"Sα (1-C6 + 1-C8, wt%)",Solids (wt%),Temperature (℃),Pressure,Cr(III),Cr source,Ligand,Solvent,Solvent (ml),Activator,Activator (eq),Time (min),PE (wt%),DOI
1,,COCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,61,50.63,31,,83,>90,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,6,10.1021/om0601596
2,,COCCCN(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,62,52.08,34,33.66,84,99,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.5,10.1021/om0601596
3,,COC1=C(N(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,66,60.06,27,26.19,91,97,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.3,10.1021/om0601596
4,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,62,57.66,24,22.32,93,93,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,54,50.22,23,20.24,93,88,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,270,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,45,41.4,16,11.68,92,73,,,25,1 atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,1250,0.2,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,44,39.6,33,30.69,90,93,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,0.4,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,16,11.52,29,27.55,72,95,,,25,4atm,20,CrCl3(THF)3,1,toluene,50,MAO,300,90,53,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,46,41.86,17,13.43,91,79,,,25,1atm,20,CrCl3(THF)3,1,"1,2-C6H4Cl2",50,MAO,300,30h,0.3,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,39,33.54,29,26.97,86,93,,,25,4atm,20,CrCl3(THF)3,1,"1,2-C6H4Cl2",50,MAO,300,90,1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,62,57.66,24,22.32,93,93,,,25,1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,<0.1,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,57,52.44,28,26.32,92,94,,,25,2.4atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.6,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,44,39.6,33,30.36,90,92,,,25,4.1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.4,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,41,35.67,38,36.1,87,95,,,25,6.1atm,20,CrCl3(THF)3,1,C6H5Cl,50,MAO,300,90,0.2,10.1021/om0601596
,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,30,24.9,34,31.62,83,93,,,25,8.4atm,8,CrCl3(THF)3,1,C6H5Cl,20,MAO,300,90,0.2,10.1021/om0601596
5,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,49,47.04,28,25.76,96,92,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,4,10.1021/om0601596
,,CC(C)N(P(C1=CC=CC=C1)C1=CC=CC=C1)P(C1=CC=CC=C1)C1=CC=CC=C1,,,,34,30.26,53,52.47,89,99,,,25,4atm,20,CrCl3(THF)3,1,toluene,50,MAO,300,90,9,10.1021/om0601596
6,,COC1=C(CN(P(C2=CC=CC=C2)C2=CC=CC=C2)P(C2=CC=CC=C2)C2=CC=CC=C2)C=CC=C1,,,,40,36.4,34,31.62,91,93,,,25,4atm,20,CrCl3(THF)3,1,PhCl,50,MAO,300,90,0.2,10.1021/om0601596
