paper_id,entity_id,material_node_id,material_name,formula,alias,material_type,structure_family,crystal_form,phase_composition,confidence,sse_family,conducting_ion,title,doi,year,journal,source_json,evidence
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,E1,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:E1,75Li2S·25P2S5 glass-ceramic,75Li2S·25P2S5,75Li2S·25P2S5 glass-ceramic,sulfide solid electrolyte,thio-LISICON III analog,glass-ceramic,thio-LISICON III analog precipitated in glass matrix,0.95,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json,75Li_2S\cdot25P_2S_5 glass-ceramic was prepared by heating the glass at 240 °C for 2 h.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,E2,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:E2,75Li2S·25P2S5 glass,75Li2S·25P2S5,75Li2S·25P2S5 glass,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.95,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,E3,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:E3,67Li2S·33P2S5 glass,67Li2S·33P2S5,67Li2S·33P2S5 glass,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.9,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,E4,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:E4,70Li2S·30P2S5 glass,70Li2S·30P2S5,,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.9,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,E5,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere:E5,80Li2S·20P2S5 glass,80Li2S·20P2S5,,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.9,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,E1,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired:E1,75Li2S·25P2S5 glass-ceramic,75Li2S·25P2S5,75Li2S·25P2S5 glass-ceramic,sulfide solid electrolyte,thio-LISICON III analog,glass-ceramic,thio-LISICON III analog precipitated in glass matrix,0.95,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json,75Li_2S\cdot25P_2S_5 glass-ceramic was prepared by heating the glass at 240 °C for 2 h.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,E2,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired:E2,75Li2S·25P2S5 glass,75Li2S·25P2S5,75Li2S·25P2S5 glass,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.9,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,E3,material:002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired:E3,67Li2S·33P2S5 glass,67Li2S·33P2S5,67Li2S·33P2S5 glass,sulfide solid electrolyte,sulfide glass,glass,amorphous,0.9,sulfide,Li+,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json,xLi_2S\cdot(100-x)P_2S_5 (mol%; 67\leq x\leq80 ) glasses were prepared by mechanical milling.
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte,E1,material:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte:E1,Li2S-P2S5 (80:20 mol%),Li2S-P2S5,sulfide based electrolyte; amorphous Li2S-P2S5 (80:20 mol%) electrolyte,sulfide solid electrolyte,Glass/Glass-ceramic,amorphous,Amorphous Li2S-P2S5 (80:20 mol%),0.95,sulfide,Li+,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte/sse_extraction.json,"The solid state ion conductor, amorphous Li _2 S-P _2 S _5 (80:20 mol%) electrolyte was prepared by high energy ball milling"
003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired,E1,material:003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired:E1,Amorphous Li2S-P2S5 (80:20 mol%),0.8Li2S-0.2P2S5,sulfide based electrolyte; solid state ion conductor,sulfide solid electrolyte,Glass/Glass-ceramic,amorphous,Amorphous Li2S-P2S5,0.95,sulfide,Li+,A rocking chair type all-solid-state lithium ion battery adopting Li_2O-ZrO_2 coated LiNi_0.8Co_0.15Al_0.05O_2 and a sulfide based electrolyte,,2013,,信息提取结果/003-A_rocking_chair_type_all-solid-state_lithium_ion_battery_adopting_Li2O-ZrO2_coated_LiNi0.8Co0.15Al0.05O2_and_a_sulfide_based_electrolyte.repaired/sse_extraction.json,"The solid state ion conductor, amorphous Li _2 S-P _2 S _5 (80:20 mol%) electrolyte was prepared by high energy ball milling"
004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4,E1,material:004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4:E1,gamma-Li3PS4,Li3PS4,\gamma -phase; \gamma -Li _3 PS _4,sulfide solid electrolyte,thio-LISICON,polycrystalline,gamma-Li3PS4 with ca. 7.0 mass % Li2PS3 second phase,0.95,sulfide,Li+,Crystal structure and phase transitions of the lithium ionic conductor Li_3PS_4,,2010,,信息提取结果/004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4/sse_extraction.json,This phase was indexed as the \gamma -phase in the present study.
004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4,E2,material:004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4:E2,beta-Li3PS4,Li3PS4,\beta -phase; \beta -Li _3 PS _4,sulfide solid electrolyte,thio-LISICON,polycrystalline,beta-Li3PS4 with ca. 7.0 mass % Li2PS3 second phase,0.9,sulfide,Li+,Crystal structure and phase transitions of the lithium ionic conductor Li_3PS_4,,2010,,信息提取结果/004-Crystal_structure_and_phase_transitions_of_the_lithium_ionic_conductor_Li3PS4/sse_extraction.json,The new \gamma -phase modification transformed between 543 and 637 K to the \beta -phase
