paper_id,table_id,caption,row_count,column_count,title,doi,year,journal,source_json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_1,H2S generation from Li2S-P2S5 materials,6,3,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_2,Scheme 1. Structural change of the 67Li_2S\cdot33P_2S_5 glass in air.,3,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_3,"Fig. 2 shows Raman spectra of the 67Li_2S\cdot 33P_2S_5 glass before exposure to the atmosphere and after it had been exposed for 4min , 90min and 1 day. An intense peak is observed at 407~cm^-1 in the spectrum of the 67Li_2S\cdot 33P_2S_5 glass before exposure. After exposure to air, the intensity of this peak decreases gradually and new peaks at 2560 and 3300~cm^-1 are observed. Tachez et al. attributed the peak at 407~cm^-1 to the P_2S_7^4- ion [11]. The peaks at 2560 and 3300~cm^-1 are attr...",4,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_4,peak gradually decreases and new peaks at 2560 and 3600cm^-1 are observed. Grzechnik et al. attributed the peak at 376cm^-1 to the motion of the Li sublattice in the Li_2S unit [13]. The peak at 3600cm^-1 is attributed to LiOH. Scheme 2 shows the structural change of the Li_2S crystal in air suggested by the Raman spectroscopy results. Li_2S was found to decompose to form LiOH and LiSH by reacting with H_2O molecules in air. LiSH was further hydrolyzed to form LiOH and H_2S . Figs. 2 and 3 reve...,3,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_5,peak gradually decreases and new peaks at 2560 and 3600cm^-1 are observed. Grzechnik et al. attributed the peak at 376cm^-1 to the motion of the Li sublattice in the Li_2S unit [13]. The peak at 3600cm^-1 is attributed to LiOH. Scheme 2 shows the structural change of the Li_2S crystal in air suggested by the Raman spectroscopy results. Li_2S was found to decompose to form LiOH and LiSH by reacting with H_2O molecules in air. LiSH was further hydrolyzed to form LiOH and H_2S . Figs. 2 and 3 reve...,3,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_6,peak gradually decreases and new peaks at 2560 and 3600cm^-1 are observed. Grzechnik et al. attributed the peak at 376cm^-1 to the motion of the Li sublattice in the Li_2S unit [13]. The peak at 3600cm^-1 is attributed to LiOH. Scheme 2 shows the structural change of the Li_2S crystal in air suggested by the Raman spectroscopy results. Li_2S was found to decompose to form LiOH and LiSH by reacting with H_2O molecules in air. LiSH was further hydrolyzed to form LiOH and H_2S . Figs. 2 and 3 reve...,4,3,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere,table_candidate_7,,10,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,table_1,Amounts of H2S generated from pelletized Li2S-P2S5 glasses with different Li2S contents,6,3,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,table_candidate_2,Scheme 1. Structural change of the 67Li_2S\cdot33P_2S_5 glass in air.,3,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json
002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired,table_candidate_3,"Fig. 2 shows Raman spectra of the 67Li_2S\cdot 33P_2S_5 glass before exposure to the atmosphere and after it had been exposed for 4min , 90min and 1 day. An intense peak is observed at 407~cm^-1 in the spectrum of the 67Li_2S\cdot 33P_2S_5 glass before exposure. After exposure to air, the intensity of this peak decreases gradually and new peaks at 2560 and 3300~cm^-1 are observed. Tachez et al. attributed the peak at 407~cm^-1 to the P_2S_7^4- ion [11]. The peaks at 2560 and 3300~cm^-1 are attr...",4,2,Structural change of Li_2S-P_2S_5 sulfide solid electrolytes in the atmosphere,,2010,,信息提取结果/002-Structural_change_of_Li2S-P2S5_sulfide_solid_electrolytes_in_the_atmosphere.repaired/sse_extraction.json
